HJD I_band I_Err
2.340562100000000100e+03 1.527299999999999969e+01 7.000000000000000146e-03
2.346502739999999903e+03 1.527399999999999913e+01 7.000000000000000146e-03
2.360497640000000047e+03 1.527200000000000024e+01 7.000000000000000146e-03
2.540876380000000154e+03 1.527100000000000080e+01 7.000000000000000146e-03
2.548813430000000153e+03 1.527699999999999925e+01 7.000000000000000146e-03
2.553780139999999847e+03 1.527500000000000036e+01 7.000000000000000146e-03
2.557845539999999801e+03 1.527100000000000080e+01 7.000000000000000146e-03
2.561843550000000050e+03 1.526099999999999923e+01 7.000000000000000146e-03
2.574806250000000091e+03 1.528500000000000014e+01 6.000000000000000125e-03
2.586764140000000225e+03 1.526500000000000057e+01 6.000000000000000125e-03
2.606740740000000187e+03 1.526299999999999990e+01 6.000000000000000125e-03
2.614811779999999999e+03 1.527999999999999936e+01 7.000000000000000146e-03
2.621815750000000207e+03 1.527299999999999969e+01 6.000000000000000125e-03
2.624712860000000092e+03 1.527500000000000036e+01 6.000000000000000125e-03
2.630602350000000115e+03 1.526399999999999935e+01 7.000000000000000146e-03
2.632753209999999854e+03 1.526800000000000068e+01 6.000000000000000125e-03
2.649666389999999865e+03 1.527899999999999991e+01 6.000000000000000125e-03
2.655774579999999787e+03 1.525500000000000078e+01 6.000000000000000125e-03
2.657758600000000115e+03 1.526500000000000057e+01 6.000000000000000125e-03
2.659819759999999860e+03 1.526299999999999990e+01 7.000000000000000146e-03
2.661619909999999891e+03 1.526900000000000013e+01 6.000000000000000125e-03
2.678803800000000138e+03 1.527200000000000024e+01 6.000000000000000125e-03
2.684578120000000126e+03 1.531099999999999994e+01 7.000000000000000146e-03
2.688551809999999932e+03 1.527399999999999913e+01 6.000000000000000125e-03
2.692526240000000143e+03 1.527699999999999925e+01 6.000000000000000125e-03
2.697541139999999814e+03 1.527399999999999913e+01 6.000000000000000125e-03
2.702542750000000069e+03 1.529199999999999982e+01 7.000000000000000146e-03
2.708569559999999910e+03 1.527200000000000024e+01 6.000000000000000125e-03
2.725502050000000054e+03 1.525000000000000000e+01 7.000000000000000146e-03
2.902798679999999877e+03 1.525200000000000067e+01 6.000000000000000125e-03
2.912802589999999782e+03 1.524699999999999989e+01 6.000000000000000125e-03
2.917810849999999846e+03 1.526299999999999990e+01 6.000000000000000125e-03
